checkpoint: myModel_recall_recall_p96_flatten_a0.7_spike_heterogeneous_sparse_eta0_k3_seed7
eta = 0.0, alpha = 0.7, tau = [4.0, 8.0, 16.0, 32.0], G11 bound = 305.0375175476074
b_0 = 1.1005, B(T-1) = 13.9615
[gate] local recurrence vs model at m == 1: max |diff| = 0.000e+00  OK

=== permutation-null thresholds (TRAIN split, label-free) ===
   axis     stat        n     q0.9    q0.95    q0.99
   unit  pearson  6641632   0.9910   0.9970   0.9996
   unit   cosine  6641632   0.9869   0.9953   0.9993
 shared  pearson   207551   0.9034   0.9535   0.9867
 shared   cosine   207551   0.9060   0.9549   0.9872
  input  pearson   207551   1.0000   1.0000   1.0000
  input   cosine   207551   1.0000   1.0000   1.0000

=== what the similarity points at (validation, eta=0 trajectory, per query) ===
   axis     stat  argmax = prev slot  best answer rank   chance
   unit  pearson              0.2958            0.2788   0.2120
   unit   cosine              0.3470            0.3108   0.2120
 shared  pearson              0.4763            0.1785   0.2120
 shared   cosine              0.4788            0.1792   0.2120
  input  pearson              0.0950            0.1956   0.2120
  input   cosine              0.0950            0.1956   0.2120
rank: 0 = most similar of the n past slots, normalised by n-1; chance = (n-m)/((m+1)(n-1)).

validation: 256 sequences, 4 batches, random control = 32 draws

=== frozen ===
setting    axis     stat      rule   M_eff  random  oracle  kept%  kept  empty% ans.kept any-hit    rand  max|u|  G11
 closed  shared   cosine  null0.95  0.0292  0.0914  1.0000    9.0  2.52   27.50   0.0369  0.0700  0.2673   17.38   OK
 closed  shared   cosine  null0.99  0.0128  0.0788  1.0000    5.4  1.50   37.78   0.0114  0.0252  0.1704   17.74   OK
 closed  shared   cosine    top10%  0.1948  0.1466  1.0000   10.0  2.60    0.00   0.1210  0.2845  0.3259   13.81   OK
 closed  shared   cosine    top25%  0.3218  0.1378  1.0000   25.0  6.45    0.00   0.5967  0.8240  0.6454   17.66   OK
 closed  shared   cosine    top50%  0.2539  0.1348  1.0000   50.0 12.88    0.00   0.9857  0.9998  0.9008   19.93   OK
 closed   input  pearson  null0.90  0.0000  0.0781  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   18.97   OK
 closed   input  pearson  null0.95  0.0000  0.0782  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   18.97   OK
 closed   input  pearson  null0.99  0.0000  0.0782  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   18.97   OK
 closed   input  pearson    top10%  0.1187  0.1467  1.0000   10.0  2.60    0.00   0.0702  0.1673  0.3259   13.97   OK
 closed   input  pearson    top25%  0.2400  0.1378  1.0000   25.0  6.45    0.00   0.4274  0.6318  0.6454   17.49   OK
 closed   input  pearson    top50%  0.2672  0.1348  1.0000   50.0 12.88    0.00   0.9882  0.9993  0.9008   19.83   OK
 closed   input   cosine  null0.90  0.0000  0.0782  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   18.85   OK
 closed   input   cosine  null0.95  0.0000  0.0393  1.0000    6.1  1.74   69.98   0.0000  0.0000  0.1608   18.85   OK
 closed   input   cosine  null0.99  0.0000  0.0393  1.0000    6.1  1.74   69.98   0.0000  0.0000  0.1608   18.85   OK
 closed   input   cosine    top10%  0.1187  0.1465  1.0000   10.0  2.60    0.00   0.0702  0.1673  0.3259   13.97   OK
 closed   input   cosine    top25%  0.2399  0.1377  1.0000   25.0  6.45    0.00   0.4274  0.6318  0.6454   17.49   OK
 closed   input   cosine    top50%  0.2661  0.1348  1.0000   50.0 12.88    0.00   0.9882  0.9993  0.9008   19.83   OK

M_eff: answer share of the KEPT kernel mass (m == 1 gives the plain kernel mass 0.1303 on this split in earlier runs; oracle mask = 1.0).
random: same kept count per query, uniform over existing slots (audit A14-CONTROL).
empty queries count as M_eff = 0; the fallback for an empty mask is a design decision.
closed: descriptors come from the masked trajectory; thresholds were still calibrated on the unmasked train trajectory.
nothing here is a recall MSE: the trained readout expects unmasked states.
