epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
79,0.633181,0.548049,0.223302,0.082899,0.000094,0.384723,0.298366,0.252104,0.083835,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9698, device='cuda:1')","tensor(0.9681, device='cuda:1')"
80,0.631012,0.545900,0.225451,0.082857,0.000093,0.386606,0.299845,0.251063,0.084250,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9429, 0.9318, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9659, device='cuda:1')","tensor(0.9632, device='cuda:1')"
81,0.628955,0.543935,0.222855,0.082790,0.000092,0.381080,0.294348,0.251127,0.084221,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
82,0.626907,0.542022,0.221998,0.082664,0.000094,0.374257,0.287956,0.252521,0.083775,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9662, device='cuda:1')"
83,0.624805,0.540107,0.220817,0.082490,0.000093,0.374652,0.288003,0.252089,0.084128,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9688, device='cuda:1')","tensor(0.9665, device='cuda:1')"
84,0.623046,0.538400,0.221493,0.082430,0.000093,0.374960,0.288088,0.252654,0.084345,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
85,0.621472,0.536793,0.222266,0.082456,0.000093,0.366116,0.279586,0.249544,0.084034,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
86,0.619685,0.535080,0.219803,0.082407,0.000093,0.366902,0.280408,0.248375,0.084010,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
87,0.617957,0.533566,0.218380,0.082207,0.000094,0.369479,0.282610,0.248419,0.084384,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9662, device='cuda:1')"
88,0.616483,0.532025,0.218872,0.082268,0.000093,0.363799,0.277056,0.249857,0.084245,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
89,0.615094,0.530705,0.217704,0.082212,0.000093,0.357883,0.271342,0.248046,0.084060,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
90,0.613480,0.529125,0.218390,0.082171,0.000095,0.366493,0.279184,0.249657,0.084813,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9662, device='cuda:1')"
91,0.611893,0.527762,0.217312,0.081956,0.000093,0.356389,0.269712,0.249123,0.084185,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9681, device='cuda:1')","tensor(0.9662, device='cuda:1')"
92,0.610568,0.526520,0.215439,0.081892,0.000094,0.354729,0.268066,0.247932,0.084184,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9721, device='cuda:1')","tensor(0.9702, device='cuda:1')"
